,자치구,법정동,마트개수
0,강동구,강일동,0
1,강동구,고덕동,0
2,노원구,공릉동,0
3,강동구,길동,0
4,성북구,길음동,2
5,성북구,돈암동,0
6,성북구,동선동1가,0
7,성북구,동선동2가,0
8,성북구,동선동3가,0
9,성북구,동선동4가,0
10,성북구,동선동5가,0
11,성북구,동소문동1가,0
12,성북구,동소문동2가,0
13,성북구,동소문동3가,0
14,성북구,동소문동4가,0
15,성북구,동소문동5가,0
16,성북구,동소문동6가,0
17,성북구,동소문동7가,0
18,강동구,둔촌동,0
19,강동구,명일동,1
20,성북구,보문동1가,0
21,성북구,보문동2가,0
22,성북구,보문동3가,0
23,성북구,보문동4가,0
24,성북구,보문동5가,0
25,성북구,보문동6가,0
26,성북구,보문동7가,0
27,성북구,삼선동1가,0
28,성북구,삼선동2가,0
29,성북구,삼선동3가,0
30,성북구,삼선동4가,0
31,성북구,삼선동5가,0
32,노원구,상계동,0
33,성북구,상월곡동,1
34,강동구,상일동,0
35,성북구,석관동,0
36,강동구,성내동,0
37,성북구,성북동,0
38,성북구,성북동1가,0
39,성북구,안암동1가,0
40,성북구,안암동2가,0
41,성북구,안암동3가,0
42,성북구,안암동4가,0
43,성북구,안암동5가,0
44,강동구,암사동,0
45,노원구,월계동,0
46,성북구,장위동,0
47,성북구,정릉동,0
48,성북구,종암동,0
49,노원구,중계동,2
50,강동구,천호동,2
51,알수없음,청량리동,"df오류, df[df['법정동명'] == '청량리동'][['자치구명', '법정동명']].drop_duplicates() 실행해보면 자치구명이 '성북구'인데 법정동명이 '청량리동'으로 되어있음. 청량리동의 기존 자치구명은 동대문구이다."
52,노원구,하계동,0
53,성북구,하월곡동,0
